Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['4845', 'Pat', 'Ann', 'Terrace', 'Orlando', 'FL', '32808']",3 beds,2 baths,"1,745 sq. ft",Residental,"$265,000"
"['1059', 'S', 'Hiawassee', 'Road', '1824', 'Orlando', 'FL', '32835']",2 beds,2 baths,836 sq. ft,Residental,"$249,999"
"['6734', 'Meritmoor', 'Circle', 'Orlando', 'FL', '32818']",3 beds,2 baths,"1,067 sq. ft",Residental,"$245,000"
"['8101', 'Resort', 'Village', 'Drive', '31208', 'Orlando', 'FL', '32821']",2 beds,2 baths,"1,060 sq. ft",Residental,"$218,000"
"['1017', 'S', 'Hiawassee', 'Road', '3733', 'Orlando', 'FL', '32835']",1 bed,1 bath,673 sq. ft,Residental,"$169,990"
"['4326', 'Lakeway', 'Drive', 'E', 'Orlando', 'FL', '32839']",2 beds,2 baths,976 sq. ft,Residental,"$125,000"
"['4342', 'Lakeway', 'Drive', 'A', 'Orlando', 'FL', '32839']",1 bed,1 bath,642 sq. ft,Residental,"$82,000"
"['1733', 'Inverary', 'Dr.', '982', 'Orlando', 'FL', '32826']",2 beds,2 baths,NaN,Residental,"$79,900"
"['1916', 'N', 'Hastings', 'Street', 'Orlando', 'FL', '32808']",3 beds,2 baths,"1,740 sq. ft",Residental,"$325,000"
"['2912', 'Eastern', 'Willow', 'Ave', 'Orlando', 'FL', '32808']",2 beds,2 baths,"1,040 sq. ft",Residental,"$109,500"
"['14172', 'Moniz', 'Avenue', 'Orlando', 'FL', '32827']",5 beds,4 baths,"3,314 sq. ft",Residental,"$1,200,000"
"['620', 'E', 'Marks', 'Street', 'Orlando', 'FL', '32803']",4 beds,3 baths,"2,634 sq. ft",Residental,"$899,000"
"['2140', 'Cascades', 'Cove', 'Drive', 'Orlando', 'FL', '32820']",5 beds,3 baths,"3,210 sq. ft",Residental,"$598,000"
"['2579', 'Bancroft', 'Boulevard', 'Orlando', 'FL', '32833']",4 beds,2 baths,"2,023 sq. ft",Residental,"$545,000"
"['520', 'Tuten', 'Trail', 'Orlando', 'FL', '32828']",4 beds,2 baths,"2,482 sq. ft",Residental,"$465,000"
"['4331', 'Old', 'Dominion', 'Road', 'Orlando', 'FL', '32812']",4 beds,2 baths,"2,735 sq. ft",Residental,"$449,999"
"['1808', 'Edmundshire', 'Road', 'Orlando', 'FL', '32812']",3 beds,2 baths,"2,285 sq. ft",Residental,"$425,000"
"['2479', 'Citrus', 'Club', 'Lane', '3303', 'Orlando', 'FL', '32839']",2 beds,2 baths,"1,232 sq. ft",Residental,"$169,500"
"['13615', 'Ritta', 'Island', 'Drive', 'Orlando', 'FL', '32827']",5 beds,4 baths,"3,333 sq. ft",Residental,"$1,100,000"
"['1015', 'N', 'Hampton', 'Avenue', 'Orlando', 'FL', '32803']",3 beds,2 baths,"1,979 sq. ft",Residental,"$649,900"
"['13213', 'Lake', 'Live', 'Oak', 'Drive', 'Orlando', 'FL', '32828']",5 beds,4 baths,"3,053 sq. ft",Residental,"$645,000"
"['3607', 'N', 'Westmoreland', 'Drive', 'Orlando', 'FL', '32804']",3 beds,2 baths,"2,047 sq. ft",Residental,"$635,000"
"['10025', 'Savannah', 'Bluff', 'Lane', 'Orlando', 'FL', '32829']",4 beds,2 baths,"1,972 sq. ft",Residental,"$465,000"
"['3427', 'Windy', 'Wood', 'Drive', 'Orlando', 'FL', '32812']",4 beds,2 baths,"2,291 sq. ft",Residental,"$439,900"
"['7842', 'Holiday', 'Isle', 'Drive', '101', 'Orlando', 'FL', '32812']",3 beds,3 baths,"1,721 sq. ft",Residental,"$435,000"
"['317', 'E', 'Jersey', 'Street', 'Orlando', 'FL', '32806']",3 beds,2 baths,"1,561 sq. ft",Residental,"$399,900"
"['10058', 'River', 'Glen', 'Court', 'Orlando', 'FL', '32825']",4 beds,2 baths,"1,913 sq. ft",Residental,"$399,000"
"['602', 'Herons', 'Nest', 'Court', 'Orlando', 'FL', '32825']",3 beds,2 baths,"1,801 sq. ft",Residental,"$395,000"
"['975', 'Enclair', 'Street', 'Orlando', 'FL', '32828']",3 beds,2 baths,"1,762 sq. ft",Residental,"$357,900"
"['3224', 'Merton', 'Alley', 'Orlando', 'FL', '32808']",3 beds,2 baths,"1,594 sq. ft",Residental,"$349,990"
"['2620', 'Bluebonnet', 'Street', 'Orlando', 'FL', '32807']",2 beds,2 baths,"1,848 sq. ft",Residental,"$345,000"
"['9030', 'Tecumseh', 'Drive', 'Orlando', 'FL', '32825']",3 beds,2 baths,"1,308 sq. ft",Residental,"$332,500"
"['9030', 'Tecumseh', 'Drive', 'Orlando', 'FL', '32825']",3 beds,2 baths,"1,308 sq. ft",Residental,"$332,500"
"['2120', 'Justin', 'Avenue', 'Orlando', 'FL', '32826']",3 beds,2 baths,"1,166 sq. ft",Residental,"$325,000"
"['5505', 'Tartan', 'Drive', 'Orlando', 'FL', '32807']",3 beds,1 bath,"1,148 sq. ft",Residental,"$317,000"
"['4988', 'Clarcona', 'Ocoee', 'Road', 'Orlando', 'FL', '32810']",3 beds,2 baths,"1,957 sq. ft",Residental,"$317,000"
"['6206', 'Castelven', 'Drive', '106', 'Orlando', 'FL', '32835']",2 beds,2 baths,"1,546 sq. ft",Residental,"$310,000"
"['1209', 'Hoffner', 'Avenue', 'Orlando', 'FL', '32809']",NaN,NaN,NaN,Residental,"$214,900"
