Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['1480','E','Illiana','Street','Orlando','FL','32806']",3,2,1621,Residential,459900
"['10509','Cherry','Oak','Circle','Orlando','FL','32817']",4,2,1936,Residential,439000
"['3901','Beachman','Drive','Orlando','FL','32810']",2,1,1031,Residential,280000
"['6068','Willowpointe','Circle','202','Orlando','FL','32822']",2,2,914,Residential,235000
"['1610','Laken','Cove','Lane','Orlando','FL','32804']",4,4,3863,Residential,2300000
"['5180','Lake','Margaret','Drive','Orlando','FL','32812']",3,2,3445,Residential,1200000
"['11657','Fiction','Avenue','Orlando','FL','32832']",3,2,1518,Residential,490000
"['20549','Nettleton','Street','Orlando','FL','32833']",3,2,2248,Residential,482000
"['1255','Blackwater','Pond','Drive','Orlando','FL','32828']",4,2,2721,Residential,479000
"['1231','Falling','Star','Lane','Orlando','FL','32828']",3,2,2060,Residential,377000
"['4750','Kempston','Drive','Orlando','FL','32812']",4,2,1638,Residential,370000
"['6524','Swissco','Drive','1012','Orlando','FL','32822']",3,2,1286,Residential,277000
"['5812','Bolling','Drive','Orlando','FL','32808']",3,1,1666,Residential,260000
"['5944','Branch','Drive','Orlando','FL','32822']",3,2,1132,Residential,287500
"['4551','Frisco','Circle','Orlando','FL','32808']",3,2,1107,Residential,265000
"['4548','Cepeda','Street','Orlando','FL','32811']",3,1,1124,Residential,229900
"['6165','Carrier','Drive','1303','Orlando','FL','32819']",2,2,583,Residential,185000
"['4367','Thornbriar','Lane','207','Orlando','FL','32822']",2,2,935,Residential,167990
"['901','Maple','Creek','Drive','Orlando','FL','32828']",4,3,2877,Residential,525000
"['11013','Creighton','Drive','Orlando','FL','32817']",4,3,2813,Residential,535000
"['3480','Benson','Park','Boulevard','Orlando','FL','32829']",3,2,1816,Residential,469000
"['20529','Starry','Street','4a','Orlando','FL','32833']",3,2,2135,Residential,624900
"['209','Bayshore','Drive','Orlando','FL','32805']",3,1,1351,Residential,237100
"['4518','Commander','Drive','1928','Orlando','FL','32822']",3,2,1253,Residential,210000
"['9864','Covent','Garden','Drive','Orlando','FL','32827']",5,4,5760,Residential,3300000
"['10939','Emerald','Chase','Drive','Orlando','FL','32836']",4,5,5248,Residential,1000000
"['2100','Treymore','Drive','Orlando','FL','32825']",4,3,3323,Residential,599900
"['14779','Grand','Cove','Drive','Orlando','FL','32837']",5,3,2716,Residential,549000
"['2433','Dammar','Street','Orlando','FL','32824']",4,3,2565,Residential,544000
"['3342','Benson','Park','Boulevard','Orlando','FL','32829']",4,2,2246,Residential,505000
"['1814','Sand','Arbor','Circle','Orlando','FL','32824']",4,2,2000,Residential,450000
"['5415','Los','Palma','Vista','Drive','Orlando','FL','32837']",5,3,2784,Residential,675000
"['6741','Nightwind','Circle','Orlando','FL','32818']",3,2,1765,Residential,459900
"['13006','Phoenix','Woods','Lane','Orlando','FL','32824']",4,2,1854,Residential,399999
"['Orlando','FL','32825']",4,2,1715,Residential,349900
"['1313','39th','Street','Orlando','FL','32839']",8,5,3600,Residential,349900
"['807','Cloyd','Dairy','Loop','Orlando','FL','32825']",3,2,1209,Residential,320000
"['2508','Woodgate','Boulevard','201','Orlando','FL','32822']",2,2,930,Residential,170000
"['9420','Dugard','Court','Orlando','FL','32827']",4,3,4037,Residential,1145000
"['7023','Talbot','Drive','Orlando','FL','32819']",4,2,1766,Residential,575000
"['1001','Carlson','Drive','Orlando','FL','32804']",3,1,1446,Residential,339900
"['626','Florida','Street','Orlando','FL','32806']",4,3,2305,Residential,699000
"['18645','Seaview','Street','Orlando','FL','32833']",5,2,2884,Residential,575000
"['2644','Shinoak','Drive','Orlando','FL','32837']",4,2,2041,Residential,565000
"['1000','Paladin','Court','Orlando','FL','32812']",4,2,2958,Residential,485000
"['13184','Markowitz','Alley','Orlando','FL','32827']",5,3,3415,Residential,768713
"['1200','Lake','Baldwin','Lane','Orlando','FL','32814']",3,3,2234,Residential,750000
"['8301','Elm','Park','Drive','6310','Orlando','FL','32821']",1,1,789,Residential,195000
"['12433','Greco','Drive','Orlando','FL','32824']",4,3,2338,Residential,580500
"['6739','Parson','Brown','Drive','Orlando','FL','32819']",3,2,1741,Residential,525000
"['820','Buckwood','Drive','Orlando','FL','32806']",3,2,1478,Residential,445000
"['16942','Cornerwood','Drive','Orlando','FL','32820']",3,2,1632,Residential,377000
"['8525','Acoma','Drive','Orlando','FL','32829']",3,2,1466,Residential,335000
"['2754','Fieldstone','Ct','Orlando','FL','32839']",3,2,1492,Residential,315000
"['3478','Westchester','Square','Boulevard','204','Orlando','FL','32835']",3,2,1600,Residential,248500
"['3406','Soho','Street','303','Orlando','FL','32835']",1,1,945,Residential,155000
"['8125','Resort','Village','Drive','Unit#','5309','Orlando','FL','32821']",2,2,1060,Residential,215000
"['3632','Grant','Boulevard','Orlando','FL','32804']",4,2,1488,Residential,595000
"['14931','Faversham','Circle','Orlando','FL','32826']",4,2,2547,Residential,520000
"['4007','Woodfern','Drive','C','Orlando','FL','32839']",2,2,1211,Residential,142900
"['5911','Harrington','Drive','Orlando','FL','32808']",3,2,1320,Residential,265000
"['12028','Xenia','Lane','Orlando','FL','32827']",3,2,1941,Residential,650000
"['925','Mayfair','Circle','Orlando','FL','32803']",4,3,2963,Residential,950000
"['602','Sweetbriar','Road','Orlando','FL','32806']",4,3,2300,Residential,655000
"['601','E','Jackson','Street','Orlando','FL','32801']",5,3,5000,Residential,3500000
"['8766','The','Esplanade','24','Orlando','FL','32836']",4,3,3012,Residential,675000
"['9542','Heron','Pointe','Drive','Orlando','FL','32832']",6,2,2682,Residential,597000
"['7027','Ardis','Street','Orlando','FL','32835']",4,3,3562,Residential,499000
"['10119','Malpas','Point','Orlando','FL','32832']",5,3,3706,Residential,949500
"['7903','Palmdale','Drive','Orlando','FL','32819']",3,2,2776,Residential,699990
"['4360','Conroy','Club','Drive','Orlando','FL','32835']",4,3,2534,Residential,598000
"['9946','Bennington','Chase','Drive','Orlando','FL','32829']",5,3,2754,Residential,493000
"['2856','Abalone','Boulevard','Orlando','FL','32833']",3,2,1911,Residential,432000
"['3245','Escondido','Drive','Orlando','FL','32827']",4,2,1920,Residential,385000
"['1431','S','Chickasaw','Trail','8','Orlando','FL','32825']",3,2,1642,Residential,328000
"['3431','Fitzgerald','Drive','Orlando','FL','32805']",4,2,2134,Residential,310000
"['4010','Dolomite','Street','A-6','Orlando','FL','32839']",1,1,762,Residential,115000
"['8918','Tavistock','Lakes','Boulevard','Orlando','FL','32827']",5,3,2476,Residential,759900
"['3024','San','Leo','Drive','Orlando','FL','32820']",5,3,3261,Residential,674900
"['12538','Floridays','Resort','Drive','212-c','Orlando','FL','32821']",3,2,1200,Residential,299950
"['4432','Watch','Hill','Road','Orlando','FL','32808']",3,2,1275,Residential,299000
"['136','Leggett','Alley','Orlando','FL','32827']",5,4,3103,Residential,750379
"['124','Peebles','Street','Orlando','FL','32827']",4,2,3400,Residential,660990
"['144','Marconi','Street','Orlando','FL','32827']",3,2,1976,Residential,645990
"['4247','Shackelford','Court','Orlando','FL','32824']",3,2,1667,Residential,430000
"['1315','Creekbottom','Circle','Orlando','FL','32825']",3,2,1473,Residential,272600
"['8820','Bay','Villa','Court','Orlando','FL','32836']",4,3,3711,Residential,1178000
"['26','Mcmillian','Drive','Orlando','FL','32827']",5,4,3518,Residential,901772
