Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['526', 'E', 'ESTHER', 'STREET,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"1,184 SqftSqft",Residential,"$385,000 USD"
"['13121', 'MCMILLIAN', 'DRIVE,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,883 SqftSqft",Residential,"$792,581 USD"
"['155', 'S', 'COURT', 'AVENUE,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,729 SqftSqft,Residential,"$285,000 USD"
"['6518', 'HIDDEN', 'BEACH', 'CIRCLE,', 'Orlando,', 'FL', '32819']",3 BedsBds,2 BathsBa,"2,136 SqftSqft",Residential,"$518,000 USD"
"['3799', 'ATRIUM', 'DRIVE,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,820 SqftSqft,Residential,"$188,500 USD"
"['9803', 'SWEETLEAF', 'STREET,', 'Orlando,', 'FL', '32827']",4 BedsBds,3 BathsBa,"2,628 SqftSqft",Residential,"$750,000 USD"
"['706', 'BRAIDWOOD', 'LANE,', 'Orlando,', 'FL', '32803']",3 BedsBds,2 BathsBa,"1,651 SqftSqft",Residential,"$439,900 USD"
"['5138', 'BRENDA', 'DRIVE,', 'Orlando,', 'FL', '32812']",3 BedsBds,2 BathsBa,"1,554 SqftSqft",Residential,"$365,000 USD"
"['3215', 'HELEN', 'AVENUE,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"2,045 SqftSqft",Residential,"$629,000 USD"
"['9928', 'RODBELL', 'STREET,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,788 SqftSqft",Residential,"$750,068 USD"
"['2705', 'GULFSTREAM', 'ROAD,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,633 SqftSqft",Residential,"$402,000 USD"
"['6263', 'HOFFNER', 'AVENUE,', 'Orlando,', 'FL', '32822']",8 BedsBds,5 BathsBa,"4,509 SqftSqft",Residential,"$800,000 USD"
"['9029', 'LAKE', 'AVON', 'DRIVE,', 'Orlando,', 'FL', '32829']",5 BedsBds,3 BathsBa,"2,998 SqftSqft",Residential,"$599,900 USD"
"['3129', 'EAGLE', 'BOULEVARD,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,073 SqftSqft",Residential,"$325,000 USD"
