Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
3,3,1544,595556,Condominium,400000,6528 S Goldenrod Rd #B,Orlando
3,2,1578,5511,Residential - Single Family,400000,5141 Walnut Ridge Dr,Orlando
4,2,1148,5406,Residential - Single Family,259900,611 Raleigh St,Orlando
1,1,548,5460,Condominium,141500,4149 E Michigan St #4149,Orlando
4,2,1933,5555,Residential - Single Family,495000,3375 Brookwater Cir,Orlando
3,1,1198,8506,Residential - Single Family,395000,1127 Morris Ave,Orlando
3,2,1576,10192,Residential - Single Family,335000,5499 Lighthouse Rd,Orlando
3,3,1392,2390,Townhouse,395000,9753 Fenrose Ter,Orlando
3,3,1788,3692,Residential - Single Family,750068,9928 Rodbell St,Orlando
3,2,1362,13773,Condominium,250000,5566 Metrowest Blvd #301,Orlando
3,2,1447,1942,Condominium,305000,6466 Cava Alta Dr #209,Orlando
4,3,2656,5505,Residential - Single Family,565000,9977 Oak Crest Rd,Orlando
3,1,897,8568,Residential - Single Family,219900,6360 Pecos Ct,Orlando
5,5,3252,6793,Residential - Single Family,1389000,1125 W Yale St,Orlando
3,2.5,2216,NaN,Residential - Single Family,659990,14057 Kauai Dr,Orlando
4,4,2854,6600,Residential - Single Family,599500,2518 Porterview Way,Orlando
5,5,4155,8880,Residential - Single Family,1549990,12587 Bovet Ave,Orlando
5,3,3292,9846,Residential - Single Family,589000,5198 Adair Oak Dr,Orlando
3,2,1246,10328,Residential - Single Family,434848,2501 Hargill Dr,Orlando
3,4,2486,22067,Residential - Single Family,1650000,10262 Chiltern Garden Dr,Orlando
3,2,1869,9291,Residential - Single Family,550000,1312 Corbett Ln,Orlando
3,2,1474,6803,Residential - Single Family,425000,2127 Fiesta Ct,Orlando
1,1,675,203206,Condominium,155000,3646 Southpointe Dr #1,Orlando
3,2,1805,2052,Condominium,470000,7517 Laureate Blvd #4202,Orlando
4,4,2742,7502,Residential - Single Family,850000,524 E Kaley St,Orlando
NaN,NaN,2999,NaN,Land,46000,731 Quill Ave, Orlando
2,2,1368,NaN,Condominium,394990,7557 Laureate Blvd #6201,Orlando
3,2,1252,6757,Residential - Single Family,499900,1624 Tulane St,Orlando
3,4,1969,1512,Townhouse,599999,129 W Grant St,Orlando
2,2,1079,8919,Condominium,230000,6157 Metrowest Blvd #204,Orlando
5,3,3151,5493,Residential - Single Family,695000,7016 Brescia Way,Orlando
4,3,1860,5499,Residential - Single Family,429000,9886 Brodbeck Blvd,Orlando
4,2,1192,10833,Condominium,225000,2019 Dixie Belle Dr #2019X,Orlando
3,4,2241,1392,Townhouse,669000,12959 Gabor Ave,Orlando
4,3,4038,6750,Residential - Single Family,979875,12203 Regal Lily Ln,Orlando
5,3,1500,6753,Residential - Single Family,395000,1617 Florinda Dr,Orlando
3,2,1198,241461,Condominium,219000,5164 Saint Charles Ln #63,Orlando
1,1,842,8756,Condominium,179900,7280 Westpointe Blvd #822,Orlando
2,2,1040,10031,Condominium,150000,5317 Curry Ford Rd #205,Orlando
